Date,Time,Phone,Nickname,Partner's Phone,Partner's Nickname,Sent/Received,Roaming,Roaming Country,Surcharges ($)
12-Feb-16,0:42,9466920036,Jane,3997526021,,received,no,,0
10-Feb-16,8:32,5191799014,Bob,9591559099,,received,no,,0
25-Jan-16,9:40,2222822772,Mary,364803808,,received,no,,0
8-Feb-16,9:39,2222822772,Mary,353262786,,received,no,,0
20-Feb-16,11:12,2610268075,Pete,1875172783,,received,no,,0
1-Feb-16,12:03,2222822772,Mary,1000397742,,sent,no,,0
5-Feb-16,12:11,2222822772,Mary,3628456530,,sent,no,,0
1-Feb-16,12:11,2222822772,Mary,4565858227,,received,no,,0
8-Feb-16,12:53,5191799014,Bob,6367197972,,sent,no,,0
14-Feb-16,14:18,9466920036,Jane,2139298295,,sent,no,,0
7-Feb-16,15:25,5191799014,Bob,622662649,,received,no,,0
16-Feb-16,17:16,9466920036,Jane,7418139783,,received,no,,0
22-Feb-16,17:18,9466920036,Jane,7989872439,,sent,no,,0
9-Feb-16,17:19,9466920036,Jane,621441140,,sent,no,,0
6-Feb-16,17:18,9466920036,Jane,3801500039,,received,no,,0
3-Feb-16,17:19,9466920036,Jane,5441792312,,received,no,,0
31-Jan-16,17:18,9466920036,Jane,9508933410,,received,no,,0
4-Feb-16,17:30,9466920036,Jane,2128476578,,sent,no,,0
25-Jan-16,19:38,9466920036,Jane,4079362946,,sent,no,,0
30-Jan-16,19:37,9466920036,Jane,4763662863,,sent,no,,0
28-Jan-16,19:37,9466920036,Jane,3904875245,,received,no,,0
20-Feb-16,19:38,9466920036,Jane,831131104,,received,no,,0
26-Jan-16,19:38,9466920036,Jane,7641571704,,received,no,,0
5-Feb-16,20:20,5191799014,Bob,749252299,,sent,no,,0
22-Feb-16,21:14,9466920036,Jane,8458779496,,sent,no,,0
5-Feb-16,21:08,9466920036,Jane,5929718031,,received,no,,0
6-Feb-16,21:15,5191799014,Bob,3989956539,,received,no,,0
7-Feb-16,22:02,5191799014,Bob,5679125861,,sent,no,,0
31-Jan-16,22:07,5191799014,Bob,7633483245,,received,no,,0
22-Feb-16,22:41,5191799014,Bob,1281856227,,received,no,,0
21-Feb-16,22:40,5191799014,Bob,7646415033,,received,no,,0
27-Jan-16,22:57,5191799014,Bob,2089354347,,sent,no,,0
22-Feb-16,7:11,2610268075,Pete,9902298277,,sent,no,,0
26-Jan-16,8:48,2222822772,Mary,5848908883,,received,no,,0
21-Feb-16,9:04,2222822772,Mary,6347877378,,received,no,,0
2-Feb-16,9:04,2222822772,Mary,5665310512,,received,no,,0
27-Jan-16,10:25,2222822772,Mary,3340443002,,received,no,,0
21-Feb-16,11:51,2222822772,Mary,3077514474,,received,no,,0
13-Feb-16,11:50,2222822772,Mary,3927102683,,sent,no,,0
15-Feb-16,11:56,2222822772,Mary,7632797917,,received,no,,0
27-Jan-16,12:00,2222822772,Mary,6693844580,,sent,no,,0
7-Feb-16,12:00,2222822772,Mary,3294131941,,sent,no,,0
2-Feb-16,12:03,2222822772,Mary,2446067237,,sent,no,,0
12-Feb-16,12:01,2222822772,Mary,914717368,,received,no,,0
7-Feb-16,11:54,2222822772,Mary,7870193115,,sent,no,,0
10-Feb-16,12:00,2222822772,Mary,7137968350,,received,no,,0
28-Jan-16,11:51,2222822772,Mary,5662407100,,received,no,,0
8-Feb-16,11:49,2222822772,Mary,9179467868,,sent,no,,0
12-Feb-16,12:05,2222822772,Mary,2443564942,,sent,no,,0
6-Feb-16,12:15,2222822772,Mary,8265759420,,received,no,,0
19-Feb-16,12:28,1432520729,Will,7983234314,,received,no,,0
21-Feb-16,12:28,1432520729,Will,4960455536,,received,no,,0
14-Feb-16,12:34,9466920036,Jane,768983672,,received,no,,0
15-Feb-16,12:35,9466920036,Jane,640197241,,sent,no,,0
15-Feb-16,12:35,9466920036,Jane,1928817680,,received,no,,0
17-Feb-16,12:54,1432520729,Will,6874252197,,sent,no,,0
19-Feb-16,12:46,2222822772,Mary,1439075654,,sent,no,,0
4-Feb-16,12:56,1432520729,Will,1878454973,,received,no,,0
26-Jan-16,12:56,1432520729,Will,7833238033,,received,no,,0
5-Feb-16,13:12,2222822772,Mary,8218486924,,received,no,,0
30-Jan-16,13:18,2222822772,Mary,6099141792,,sent,no,,0
3-Feb-16,13:25,2222822772,Mary,8875606549,,received,no,,0
27-Jan-16,13:28,2222822772,Mary,5792540502,,received,no,,0
30-Jan-16,13:18,2222822772,Mary,9581428111,,sent,no,,0
8-Feb-16,13:26,2222822772,Mary,2005511564,,sent,no,,0
13-Feb-16,13:21,2222822772,Mary,1367540041,,sent,no,,0
26-Jan-16,13:19,2222822772,Mary,3310512564,,received,no,,0
13-Feb-16,13:29,2222822772,Mary,6024727868,,received,no,,0
11-Feb-16,13:33,2222822772,Mary,4189549422,,sent,no,,0
28-Jan-16,13:34,2222822772,Mary,3041289675,,received,no,,0
4-Feb-16,13:40,2222822772,Mary,8864023412,Betty,received,no,,0
8-Feb-16,13:40,8864023412,Betty,2222822772,Mary,sent,no,,0
7-Feb-16,13:41,2222822772,Mary,7984786702,,received,no,,0
12-Feb-16,13:39,2222822772,Mary,501040077,,sent,no,,0
22-Feb-16,14:43,2222822772,Mary,23632960,,received,no,,0
20-Feb-16,15:15,2222822772,Mary,591149798,,sent,no,,0
25-Jan-16,15:38,5191799014,Bob,2769072496,,received,no,,0
8-Feb-16,16:50,5191799014,Bob,9860753630,,sent,no,,0
23-Feb-16,17:20,5191799014,Bob,5019263072,,received,no,,0
20-Feb-16,17:22,5191799014,Bob,95606137,,sent,no,,0
26-Jan-16,19:00,2222822772,Mary,5916079578,,received,no,,0
20-Feb-16,19:28,1432520729,Will,1526933660,,received,no,,0
30-Jan-16,19:23,2222822772,Mary,1728565262,,sent,no,,0
20-Feb-16,19:31,1432520729,Will,9793974084,,received,no,,0
12-Feb-16,19:29,1432520729,Will,2722202372,,sent,no,,0
25-Jan-16,19:32,1432520729,Will,5830399058,,received,no,,0
19-Feb-16,19:20,2222822772,Mary,7793619120,,received,no,,0
27-Jan-16,19:31,1432520729,Will,3881912122,,received,no,,0
26-Jan-16,19:32,1432520729,Will,4278317294,,received,no,,0
18-Feb-16,19:30,1432520729,Will,672137310,,sent,no,,0
8-Feb-16,19:30,1432520729,Will,1156705686,,sent,no,,0
4-Feb-16,21:21,2222822772,Mary,5150637365,,sent,no,,0
18-Feb-16,20:26,5191799014,Bob,619651514,,received,no,,0
22-Feb-16,21:55,5191799014,Bob,4948351728,,sent,no,,0
26-Jan-16,21:54,2222822772,Mary,6653166654,,received,no,,0
7-Feb-16,22:07,5191799014,Bob,6830712588,,sent,no,,0
21-Feb-16,22:07,5191799014,Bob,6997964467,,sent,no,,0
31-Jan-16,22:07,5191799014,Bob,8809783710,,sent,no,,0
15-Feb-16,22:07,5191799014,Bob,3904445262,,sent,no,,0
14-Feb-16,23:32,5191799014,Bob,6592507243,,received,no,,0
2-Feb-16,23:36,5191799014,Bob,7897235853,,sent,no,,0
28-Jan-16,23:31,5191799014,Bob,3521026107,,sent,no,,0
16-Feb-16,2:16,5191799014,Bob,1808778066,,sent,no,,0
17-Feb-16,7:56,5191799014,Bob,1260544473,,received,no,,0
14-Feb-16,8:24,2610268075,Pete,1432520729,Will,received,no,,0
15-Feb-16,8:24,1432520729,Will,2610268075,Pete,sent,no,,0
7-Feb-16,8:17,2610268075,Pete,1432520729,Will,sent,no,,0
9-Feb-16,8:26,1432520729,Will,2610268075,Pete,received,no,,0
9-Feb-16,8:17,1432520729,Will,2610268075,Pete,received,no,,0
7-Feb-16,8:26,2610268075,Pete,1432520729,Will,sent,no,,0
23-Feb-16,8:41,1432520729,Will,2610268075,Pete,sent,no,,0
9-Feb-16,8:42,5191799014,Bob,316689144,,received,no,,0
27-Jan-16,8:46,2610268075,Pete,1432520729,Will,sent,no,,0
4-Feb-16,8:46,1432520729,Will,2610268075,Pete,received,no,,0
29-Jan-16,8:41,2610268075,Pete,1432520729,Will,received,no,,0
15-Feb-16,8:48,5191799014,Bob,6522349710,,received,no,,0
7-Feb-16,10:21,5191799014,Bob,7293614056,,sent,no,,0
17-Feb-16,11:02,2222822772,Mary,4621215568,,received,no,,0
25-Jan-16,10:55,2610268075,Pete,2443252989,,received,no,,0
26-Jan-16,11:02,2222822772,Mary,7927387278,,received,no,,0
5-Feb-16,11:01,5191799014,Bob,28813434,,sent,no,,0
9-Feb-16,11:03,5191799014,Bob,8158104001,,received,no,,0
