Date,Time,Incoming/Outgoing,Phone,Nickname,Location,Country,Partner's Phone,Partner Nickname,Partner's Location,Partner's Country,Duration (min),Surcharges ($),Features
28-Jan-16,15:09,outgoing,2610268075,Pete,"Surprise, AZ",USA,2236301229,,USA,United States of America,28,0,
3-Feb-16,20:08,incoming,2610268075,Pete,"McKinney, TX",USA,9466920036,Jane,,,3,0,
31-Jan-16,19:08,outgoing,9466920036,Jane,"Lexington, KY",USA,2610268075,Pete,USA,United States of America,3,0,
5-Feb-16,19:36,outgoing,9466920036,Jane,"Sunnyvale, CA",USA,2312498862,,USA,United States of America,1,0,
19-Feb-16,21:23,incoming,2222822772,Mary,"Modesto, CA",USA,9677848100,,,,1,0,
14-Feb-16,21:58,outgoing,5191799014,Bob,"Columbia, SC",USA,5280615531,,USA,United States of America,4,0,
13-Feb-16,22:40,outgoing,5191799014,Bob,"Ann Arbor, MI",USA,9890065033,,USA,United States of America,2,0,
25-Jan-16,10:18,outgoing,8864023412,Betty,"Carrollton, TX",USA,2188199814,,USA,United States of America,1,0,
5-Feb-16,10:19,incoming,8864023412,Betty,"Santa Clarita, CA",USA,2602225508,,,,23,0,
19-Feb-16,10:43,outgoing,8864023412,Betty,"Cary, NC",USA,4156897518,,USA,United States of America,7,0,
5-Feb-16,12:31,outgoing,2610268075,Pete,"West Jordan, UT",USA,8874349227,,USA,United States of America,1,0,
5-Feb-16,12:30,outgoing,2610268075,Pete,"Norwalk, CA",USA,5495651161,,USA,United States of America,1,0,
14-Feb-16,12:33,outgoing,2610268075,Pete,"Wichita Falls, TX",USA,1803735741,,USA,United States of America,12,0,
29-Jan-16,13:51,outgoing,2610268075,Pete,"Springfield, MA",USA,948096846,,USA,United States of America,2,0,
20-Feb-16,14:24,outgoing,2610268075,Pete,"Colorado Springs, CO",USA,3596567062,,USA,United States of America,1,0,
26-Jan-16,13:37,outgoing,5191799014,Bob,"Los Angeles, CA",USA,7190310360,,USA,United States of America,1,0,
21-Feb-16,14:25,outgoing,2610268075,Pete,"Chula Vista, CA",USA,2631393700,,USA,United States of America,14,0,
26-Jan-16,14:37,outgoing,8864023412,Betty,"Wichita Falls, TX",USA,2222822772,Mary,USA,United States of America,3,0,
14-Feb-16,14:56,outgoing,2610268075,Pete,"Bridgeport, CT",USA,8727696711,,USA,United States of America,1,0,
17-Feb-16,14:57,outgoing,2610268075,Pete,"Long Beach, CA",USA,6052343709,,USA,United States of America,3,0,
4-Feb-16,15:06,outgoing,8864023412,Betty,"Wilmington, NC",USA,6175533381,,USA,United States of America,7,0,
15-Feb-16,14:48,outgoing,2222822772,Mary,"Augusta, GA",USA,9394638933,,USA,United States of America,1,0,
20-Feb-16,14:51,incoming,2222822772,Mary,"Fort Wayne, IN",USA,2416291959,,,,2,0,
11-Feb-16,16:03,incoming,1432520729,Will,"Wichita, KS",USA,2386216228,,,,7,0,
26-Jan-16,17:22,outgoing,1432520729,Will,"Gresham, OR",USA,5832335291,,USA,United States of America,3,0,
9-Feb-16,19:10,outgoing,2222822772,Mary,"Round Rock, TX",USA,8486192958,,USA,United States of America,3,0,
5-Feb-16,19:27,outgoing,1432520729,Will,"Brownsville, TX",USA,9759617650,,USA,United States of America,1,0,
18-Feb-16,21:09,outgoing,5191799014,Bob,"Fargo, ND",USA,1861011337,,USA,United States of America,4,0,
29-Jan-16,21:53,outgoing,5191799014,Bob,"Dayton, OH",USA,5391415251,,USA,United States of America,1,0,
8-Feb-16,23:29,incoming,5191799014,Bob,"Phoenix, AZ",USA,7404611846,,,,1,0,
2-Feb-16,9:06,outgoing,8864023412,Betty,"Rockford, IL",USA,6337399245,,USA,United States of America,3,0,
10-Feb-16,9:25,outgoing,2610268075,Pete,"Anaheim, CA",USA,8438440139,,USA,United States of America,1,0,
30-Jan-16,9:26,outgoing,2610268075,Pete,"Coral Springs, FL",USA,7312734201,,USA,United States of America,2,0,
30-Jan-16,9:39,outgoing,8864023412,Betty,"Denton, TX",USA,3683888380,,USA,United States of America,5,0,
21-Feb-16,10:38,incoming,8864023412,Betty,"Vallejo, CA",USA,1393398159,,,,25,0,
28-Jan-16,11:47,incoming,2610268075,Pete,"Tulsa, OK",USA,1859826296,,,,7,0,
26-Jan-16,12:19,outgoing,5191799014,Bob,"Hialeah, FL",USA,2222822772,Mary,USA,United States of America,1,0,
15-Feb-16,12:31,incoming,2222822772,Mary,"Kent, WA",USA,5191799014,Bob,,,2,0,
11-Feb-16,12:31,outgoing,5191799014,Bob,"Pasadena, TX",USA,2222822772,Mary,USA,United States of America,2,0,
29-Jan-16,12:41,outgoing,5191799014,Bob,"Baltimore, MD",USA,2222822772,Mary,USA,United States of America,17,0,
5-Feb-16,12:41,incoming,2222822772,Mary,"Reno, NV",USA,5191799014,Bob,,,17,0,
28-Jan-16,12:57,outgoing,5191799014,Bob,"Kansas City, KS",USA,2222822772,Mary,USA,United States of America,36,0,
25-Jan-16,12:57,incoming,2222822772,Mary,"Oklahoma City, OK",USA,5191799014,Bob,,,36,0,
13-Feb-16,14:43,outgoing,8864023412,Betty,"Jurupa Valley, CA",USA,8140323338,,USA,United States of America,8,0,
27-Jan-16,13:47,outgoing,5191799014,Bob,"Nashville, TN",USA,7581337260,,USA,United States of America,1,0,
3-Feb-16,13:44,outgoing,1432520729,Will,"Ventura, CA",USA,2695069856,,USA,United States of America,2,0,
20-Feb-16,14:50,outgoing,2610268075,Pete,"Clearwater, FL",USA,2222822772,Mary,USA,United States of America,6,0,
8-Feb-16,13:50,incoming,2222822772,Mary,"Raleigh, NC",USA,2610268075,Pete,,,6,0,
11-Feb-16,15:24,incoming,2610268075,Pete,"Kent, WA",USA,2222822772,Mary,,,2,0,
